Customer_ID,Age,Gender,Annual_Income,Spending_Score,Region,Loyalty_Tier,Purchase_Frequency
CUST1137,31,Male,46052.0,60.0,West,Silver,18.0
CUST1138,43,Male,29413.0,58.0,East,Gold,17.0
CUST1139,22,Male,45415.0,45.0,North,Platinum,23.0
CUST1140,37,Male,65723.0,52.0,East,Platinum,12.0
CUST1141,48,Male,37427.0,41.0,North,Gold,12.0
CUST1142,18,Male,40994.0,50.0,South,Gold,11.0
CUST1143,36,Female,58903.0,32.0,East,Platinum,1.0
CUST1144,37,Male,50045.0,38.0,South,Silver,18.0
CUST1145,42,Male,58769.0,45.0,South,Platinum,15.0
CUST1146,22,Male,53567.0,35.0,West,Platinum,13.0
CUST1147,21,Female,57194.0,42.0,West,Platinum,10.0
CUST1148,40,Male,43515.0,47.0,East,Silver,17.0
CUST1149,37,Male,53475.0,56.0,North,Gold,15.0
CUST1150,37,Female,36089.0,64.0,West,Gold,22.0
CUST1151,38,Male,69326.0,43.0,West,Gold,15.0
CUST1152,28,Male,40485.0,70.0,South,Silver,17.0
CUST1153,37,Female,66932.0,64.0,South,Silver,22.0
CUST1154,37,Male,46495.0,57.0,North,Gold,13.0
CUST1155,27,Female,53029.0,52.0,West,Gold,12.0
CUST1156,90,Male,-1000.0,-10.0,West,Gold,
CUST1157,39,Male,,,North,Gold,
CUST1158,23,Male,23828.0,68.0,West,Silver,13.0
CUST1159,41,Female,34170.0,70.0,East,Gold,13.0
CUST1160,25,Female,45141.0,50.0,East,Platinum,10.0
CUST1161,42,Female,53178.0,58.0,North,Gold,17.0
CUST1162,46,Male,65155.0,70.0,South,Silver,12.0
CUST1163,26,Male,43313.0,40.0,North,Platinum,15.0
CUST1164,44,Female,36770.0,45.0,East,Platinum,10.0
CUST1165,39,Female,28359.0,50.0,West,Platinum,16.0
CUST1166,43,Male,57200.0,63.0,West,Silver,25.0
CUST1167,90,Male,-1000.0,-10.0,South,Gold,
CUST1168,32,Male,68994.0,46.0,South,Silver,14.0
CUST1169,27,Male,60648.0,27.0,East,Silver,9.0
CUST1170,26,Female,59578.0,53.0,South,Platinum,19.0
CUST1171,26,Male,75464.0,36.0,North,Platinum,14.0
CUST1172,34,Male,54981.0,27.0,East,Silver,16.0
CUST1173,38,Male,59691.0,31.0,West,Platinum,19.0
CUST1174,37,Male,45188.0,54.0,West,Silver,14.0
CUST1175,43,Male,29569.0,70.0,West,Platinum,20.0
CUST1176,35,Male,39742.0,50.0,South,Gold,20.0
CUST1177,49,Male,,,East,Gold,
CUST1178,32,Female,50911.0,67.0,South,Gold,15.0
CUST1179,62,Female,78894.0,26.0,North,Platinum,15.0
CUST1180,41,Female,51219.0,57.0,East,Platinum,17.0
CUST1181,26,Male,67682.0,49.0,South,Gold,17.0
CUST1182,24,Female,43473.0,58.0,West,Silver,7.0
CUST1183,39,Male,45324.0,42.0,West,Silver,11.0
CUST1184,32,Male,30064.0,37.0,North,Gold,19.0
CUST1185,42,Male,38865.0,52.0,North,Platinum,16.0
CUST1186,39,Male,57904.0,74.0,North,Silver,13.0
CUST1187,34,Female,50113.0,62.0,West,Silver,23.0
CUST1188,26,Male,64144.0,42.0,South,Silver,19.0
CUST1189,19,Male,52718.0,29.0,West,Platinum,20.0
CUST1190,30,Female,44713.0,24.0,West,Silver,13.0
CUST1191,43,Female,82224.0,69.0,West,Silver,16.0
CUST1192,37,Female,48591.0,35.0,South,Gold,14.0
CUST1193,22,Male,67445.0,45.0,West,Platinum,9.0
CUST1194,36,Female,43981.0,69.0,North,Gold,15.0
CUST1195,38,Male,60643.0,25.0,North,Silver,14.0
CUST1196,26,Male,63920.0,72.0,North,Platinum,14.0
CUST1197,36,Female,53127.0,46.0,North,Platinum,19.0
CUST1198,35,Female,14682.0,32.0,West,Gold,14.0
CUST1199,23,Female,,,West,Gold,
CUST1200,38,Male,68456.0,39.0,West,Platinum,15.0
CUST1201,40,Male,57912.0,56.0,North,Platinum,17.0
CUST1202,45,Male,56687.0,40.0,South,Gold,16.0
CUST1203,45,Male,24166.0,21.0,East,Silver,18.0
CUST1204,21,Male,39193.0,46.0,East,Platinum,8.0
CUST1205,25,Male,56170.0,29.0,East,Silver,15.0
CUST1206,40,Female,56155.0,53.0,South,Gold,14.0
CUST1207,40,Male,68220.0,32.0,West,Platinum,8.0
CUST1208,40,Female,47826.0,42.0,East,Gold,7.0
CUST1209,73,Female,56087.0,52.0,East,Platinum,11.0
CUST1210,40,Female,50245.0,46.0,West,Platinum,11.0
CUST1211,46,Female,35195.0,53.0,East,Gold,13.0
CUST1212,44,Female,16163.0,60.0,West,Gold,15.0
CUST1213,41,Male,56465.0,32.0,East,Silver,17.0
CUST1214,31,Male,52609.0,49.0,West,Gold,8.0
CUST1215,42,Male,40727.0,0.0,North,Gold,10.0
CUST1216,27,Male,25712.0,53.0,South,Silver,10.0
CUST1217,32,Female,59446.0,45.0,East,Gold,14.0
CUST1218,30,Female,46011.0,35.0,West,Silver,15.0
CUST1219,35,Female,58353.0,54.0,North,Silver,19.0
CUST1220,58,Male,77960.0,67.0,West,Gold,10.0
CUST1221,10,Male,500000.0,110.0,East,Silver,
CUST1222,41,Male,39505.0,35.0,East,Silver,7.0
CUST1223,18,Male,46859.0,52.0,East,Silver,15.0
CUST1224,30,Female,71822.0,29.0,East,Gold,17.0
CUST1225,45,Female,25453.0,40.0,East,Gold,18.0
CUST1226,35,Male,79037.0,68.0,North,Silver,23.0
CUST1227,24,Male,52037.0,50.0,West,Gold,26.0
CUST1228,90,Female,500000.0,110.0,West,Platinum,
CUST1229,41,Female,47029.0,23.0,East,Silver,8.0
CUST1230,27,Female,43456.0,52.0,West,Platinum,34.0
CUST1231,37,Female,65721.0,62.0,North,Gold,20.0
CUST1232,35,Male,33972.0,25.0,East,Platinum,20.0
CUST1233,28,Female,,,South,Gold,
CUST1234,56,Female,44237.0,69.0,North,Gold,14.0
CUST1235,41,Female,38567.0,78.0,East,Silver,10.0
CUST1236,14,Female,88789.0,54.0,West,Platinum,18.0
CUST1237,36,Male,56285.0,57.0,North,Silver,12.0
CUST1238,28,Male,59198.0,18.0,East,Platinum,18.0
CUST1239,43,Male,,,West,Gold,
CUST1240,27,Male,28679.0,41.0,West,Gold,19.0
CUST1241,33,Male,76284.0,35.0,East,Silver,16.0
CUST1242,40,Male,12365.0,46.0,North,Platinum,21.0
CUST1243,43,Female,38468.0,72.0,East,Platinum,25.0
CUST1244,22,Female,43114.0,83.0,East,Gold,16.0
CUST1245,31,Female,58725.0,51.0,East,Silver,21.0
CUST1246,30,Female,53280.0,64.0,East,Gold,21.0
CUST1247,28,Male,47497.0,50.0,East,Gold,14.0
CUST1248,52,Female,49820.0,34.0,West,Silver,16.0
CUST1249,39,Male,35329.0,72.0,East,Platinum,16.0
CUST1250,22,Female,27541.0,40.0,North,Platinum,12.0
CUST1251,44,Female,60897.0,73.0,South,Gold,12.0
CUST1252,56,Female,60405.0,69.0,East,Platinum,21.0
CUST1253,45,Male,73767.0,59.0,North,Silver,11.0
CUST1254,19,Female,,,South,Platinum,
CUST1255,30,Male,60392.0,83.0,North,Platinum,13.0
CUST1256,47,Male,45744.0,47.0,West,Gold,17.0
CUST1257,27,Female,67857.0,37.0,West,Platinum,26.0
CUST1258,39,Male,65329.0,22.0,South,Silver,14.0
CUST1259,42,Male,53168.0,83.0,South,Gold,7.0
CUST1260,25,Female,44907.0,43.0,South,Silver,15.0
CUST1261,34,Female,64413.0,67.0,West,Platinum,10.0
CUST1262,2,Female,59703.0,38.0,West,Platinum,16.0
CUST1263,24,Female,,,North,Gold,
CUST1264,32,Female,30083.0,39.0,West,Silver,15.0
CUST1265,22,Female,45672.0,32.0,South,Platinum,9.0
CUST1266,51,Male,72731.0,46.0,East,Platinum,13.0
CUST1267,20,Female,67197.0,42.0,East,Gold,10.0
CUST1268,30,Female,33315.0,58.0,South,Platinum,21.0
CUST1269,36,Male,32483.0,49.0,West,Platinum,11.0
CUST1270,49,Female,69120.0,59.0,South,Platinum,17.0
CUST1271,20,Male,32965.0,45.0,West,Silver,15.0
CUST1272,46,Female,57639.0,40.0,East,Silver,15.0
CUST1273,35,Female,40758.0,41.0,North,Silver,16.0
CUST1274,25,Male,74255.0,80.0,West,Platinum,18.0
CUST1275,39,Female,38443.0,53.0,North,Gold,21.0
CUST1276,36,Male,67150.0,20.0,East,Gold,19.0
CUST1277,28,Female,52772.0,42.0,North,Gold,22.0
CUST1278,35,Female,53782.0,51.0,North,Silver,9.0
CUST1279,31,Male,20445.0,77.0,South,Silver,8.0
CUST1280,36,Female,16956.0,65.0,North,Silver,23.0
CUST1281,41,Female,46691.0,36.0,East,Silver,17.0
CUST1282,50,Male,53703.0,86.0,West,Platinum,9.0
CUST1283,22,Female,33122.0,49.0,North,Gold,13.0
CUST1284,56,Male,33669.0,68.0,West,Gold,17.0
CUST1285,15,Female,58422.0,32.0,South,Silver,14.0
CUST1286,33,Male,58442.0,14.0,East,Gold,18.0
CUST1287,40,Female,47933.0,28.0,East,Gold,9.0
CUST1288,37,Male,61703.0,1.0,West,Silver,14.0
CUST1289,28,Male,32386.0,81.0,East,Silver,15.0
CUST1290,32,Female,44660.0,53.0,South,Silver,11.0
CUST1291,30,Female,74718.0,36.0,West,Silver,13.0
CUST1292,29,Male,51024.0,56.0,East,Platinum,12.0
CUST1293,43,Female,51894.0,52.0,South,Gold,9.0
CUST1294,38,Male,84589.0,59.0,South,Platinum,11.0
CUST1295,28,Female,29009.0,68.0,North,Gold,15.0
CUST1296,43,Female,,,East,Platinum,
CUST1297,38,Male,74959.0,36.0,West,Silver,11.0
CUST1298,43,Male,45127.0,62.0,North,Platinum,6.0
CUST1299,41,Female,62894.0,62.0,West,Silver,22.0
CUST1300,26,Female,35269.0,51.0,North,Silver,19.0
CUST1301,29,Female,39699.0,82.0,South,Platinum,21.0
CUST1302,42,Female,55774.0,43.0,North,Gold,16.0
CUST1303,41,Female,61978.0,36.0,North,Platinum,16.0
CUST1304,34,Male,66814.0,56.0,North,Silver,13.0
CUST1305,36,Female,73544.0,39.0,East,Silver,21.0
CUST1306,47,Female,48988.0,57.0,North,Gold,15.0
CUST1307,29,Male,67904.0,37.0,South,Gold,5.0
CUST1308,40,Male,,,West,Gold,
CUST1309,32,Male,63531.0,78.0,East,Silver,16.0
CUST1310,32,Female,53112.0,43.0,South,Platinum,10.0
CUST1311,45,Male,56685.0,38.0,East,Gold,15.0
CUST1312,43,Male,56352.0,67.0,West,Silver,18.0
CUST1313,43,Male,25929.0,34.0,West,Platinum,10.0
CUST1314,48,Male,33138.0,39.0,West,Gold,13.0
CUST1315,35,Female,51538.0,58.0,East,Platinum,13.0
CUST1316,41,Female,24690.0,64.0,East,Platinum,10.0
CUST1317,31,Female,62468.0,68.0,West,Silver,7.0
CUST1318,38,Male,63073.0,38.0,West,Silver,9.0
CUST1319,90,Male,500000.0,-10.0,South,Silver,
CUST1320,35,Male,33182.0,43.0,West,Platinum,14.0
CUST1321,40,Male,70702.0,40.0,North,Gold,14.0
CUST1322,26,Male,80558.0,68.0,East,Gold,12.0
CUST1323,10,Male,-1000.0,110.0,South,Gold,
CUST1324,24,Female,,,East,Silver,
CUST1325,22,Female,,,West,Gold,
CUST1326,46,Male,57955.0,33.0,North,Gold,27.0
CUST1327,42,Female,48206.0,64.0,West,Silver,19.0
CUST1328,41,Male,49481.0,58.0,East,Gold,4.0
CUST1329,41,Male,63585.0,20.0,South,Gold,21.0
CUST1330,34,Female,85184.0,54.0,East,Gold,11.0
CUST1331,26,Male,28998.0,38.0,South,Platinum,10.0
CUST1332,35,Female,48442.0,66.0,North,Platinum,13.0
CUST1333,28,Male,32293.0,28.0,West,Silver,20.0
CUST1334,44,Male,73880.0,44.0,West,Silver,17.0
CUST1335,33,Female,41183.0,55.0,North,Platinum,15.0
CUST1336,26,Male,28351.0,50.0,East,Silver,10.0
CUST1337,31,Male,59572.0,61.0,North,Silver,19.0
CUST1338,39,Male,76164.0,27.0,West,Gold,10.0
CUST1339,29,Female,59953.0,74.0,South,Silver,20.0
CUST1340,26,Male,53071.0,57.0,West,Silver,16.0
CUST1341,37,Male,56137.0,70.0,East,Gold,12.0
CUST1342,37,Male,71222.0,63.0,South,Gold,25.0
CUST1343,29,Female,36887.0,49.0,East,Platinum,19.0
CUST1344,30,Female,48322.0,30.0,West,Silver,17.0
CUST1345,37,Female,43209.0,41.0,West,Gold,15.0
CUST1346,20,Female,,,South,Silver,
CUST1347,20,Female,45074.0,70.0,East,Silver,15.0
CUST1348,27,Male,66615.0,40.0,South,Platinum,23.0
CUST1349,32,Female,58499.0,7.0,South,Platinum,8.0
CUST1350,38,Female,59664.0,46.0,East,Platinum,17.0
CUST1351,49,Male,52197.0,45.0,South,Platinum,21.0
CUST1352,43,Female,57849.0,46.0,North,Platinum,22.0
CUST1353,33,Male,37991.0,57.0,South,Gold,10.0
CUST1354,34,Female,45357.0,63.0,West,Platinum,12.0
CUST1355,24,Male,52880.0,64.0,East,Gold,15.0
CUST1356,34,Male,54162.0,56.0,West,Platinum,17.0
CUST1357,32,Female,54802.0,22.0,North,Gold,21.0
CUST1358,38,Female,47924.0,44.0,North,Silver,13.0
CUST1359,26,Male,44338.0,84.0,South,Platinum,19.0
CUST1360,40,Male,97366.0,55.0,West,Gold,2.0
CUST1361,50,Male,63601.0,55.0,South,Platinum,13.0
CUST1362,33,Male,56197.0,55.0,South,Gold,19.0
CUST1363,39,Male,46501.0,56.0,West,Gold,19.0
CUST1364,41,Male,43231.0,14.0,North,Platinum,10.0
CUST1365,30,Male,48037.0,46.0,North,Gold,20.0
CUST1366,37,Female,54392.0,49.0,North,Silver,7.0
CUST1367,35,Male,21793.0,69.0,East,Platinum,20.0
CUST1368,35,Female,26459.0,50.0,East,Silver,13.0
CUST1369,27,Female,40446.0,25.0,South,Gold,12.0
CUST1370,35,Male,53107.0,56.0,East,Gold,13.0
CUST1371,39,Male,46410.0,37.0,East,Platinum,16.0
CUST1372,49,Female,72171.0,31.0,West,Silver,25.0
CUST1373,44,Male,27764.0,37.0,South,Silver,21.0
CUST1374,56,Male,38729.0,58.0,South,Platinum,9.0
CUST1375,27,Female,72801.0,68.0,West,Silver,9.0
CUST1376,43,Female,51966.0,57.0,North,Platinum,5.0
CUST1377,36,Female,63272.0,59.0,West,Platinum,16.0
CUST1378,56,Male,80768.0,57.0,North,Gold,14.0
CUST1379,26,Male,39592.0,51.0,South,Gold,18.0
CUST1380,26,Female,48510.0,60.0,South,Silver,12.0
CUST1381,29,Male,45913.0,13.0,East,Platinum,13.0
CUST1382,13,Female,20681.0,51.0,East,Platinum,7.0
CUST1383,29,Male,45344.0,34.0,West,Platinum,20.0
CUST1384,27,Female,63215.0,67.0,East,Platinum,11.0
CUST1385,36,Male,58108.0,47.0,South,Gold,10.0
CUST1386,38,Female,59286.0,50.0,South,Silver,19.0
CUST1387,53,Male,44367.0,27.0,North,Gold,7.0
CUST1388,44,Male,40158.0,65.0,East,Platinum,17.0
CUST1389,29,Female,69038.0,59.0,North,Silver,11.0
CUST1390,26,Male,42540.0,58.0,South,Silver,14.0
CUST1391,39,Male,54411.0,37.0,East,Platinum,5.0
CUST1392,21,Female,52450.0,38.0,North,Platinum,17.0
CUST1393,10,Male,-1000.0,110.0,South,Gold,
CUST1394,46,Male,64571.0,39.0,North,Gold,8.0
CUST1395,30,Male,30571.0,56.0,East,Platinum,20.0
CUST1396,17,Female,32186.0,17.0,North,Platinum,14.0
CUST1397,48,Female,58683.0,42.0,North,Gold,17.0
CUST1398,33,Female,49034.0,76.0,South,Silver,9.0
CUST1399,47,Female,43172.0,56.0,East,Silver,9.0
CUST1400,19,Female,65234.0,52.0,West,Silver,15.0
CUST1401,29,Male,,,West,Gold,
CUST1402,35,Male,50786.0,14.0,North,Platinum,15.0
CUST1403,35,Female,61697.0,37.0,South,Silver,7.0
CUST1404,30,Male,44373.0,43.0,East,Platinum,18.0
CUST1405,41,Male,73527.0,62.0,South,Gold,16.0
CUST1406,24,Male,38179.0,63.0,East,Gold,20.0
CUST1407,33,Male,59853.0,37.0,South,Platinum,16.0
CUST1408,36,Female,,,West,Platinum,
CUST1409,40,Female,29340.0,43.0,West,Platinum,25.0
CUST1410,42,Male,,,West,Platinum,
CUST1411,23,Male,67133.0,34.0,South,Silver,14.0
CUST1412,19,Female,67358.0,48.0,South,Platinum,10.0
CUST1413,47,Male,47427.0,42.0,North,Silver,8.0
CUST1414,38,Male,38979.0,65.0,West,Gold,13.0
CUST1415,27,Male,64339.0,42.0,North,Silver,11.0
CUST1416,50,Female,67753.0,49.0,South,Platinum,11.0
CUST1417,36,Female,32530.0,57.0,East,Silver,16.0
CUST1418,46,Male,31941.0,58.0,West,Gold,7.0
CUST1419,35,Male,53378.0,63.0,West,Platinum,9.0
CUST1420,55,Male,59440.0,53.0,West,Gold,5.0
CUST1421,52,Male,45513.0,43.0,West,Gold,8.0
CUST1422,32,Male,60189.0,44.0,West,Platinum,11.0
CUST1423,44,Male,39347.0,50.0,South,Silver,19.0
CUST1424,41,Female,18279.0,53.0,West,Gold,24.0
CUST1425,48,Female,43641.0,47.0,West,Platinum,6.0
CUST1426,25,Male,50948.0,50.0,North,Gold,19.0
CUST1427,41,Female,45862.0,27.0,East,Silver,10.0
CUST1428,45,Male,32620.0,60.0,West,Gold,15.0
CUST1429,17,Male,22765.0,52.0,North,Gold,17.0
CUST1430,23,Female,42288.0,65.0,South,Gold,22.0
CUST1431,14,Female,63464.0,50.0,North,Gold,26.0
CUST1432,32,Male,68842.0,23.0,West,Silver,20.0
CUST1433,42,Male,67815.0,44.0,North,Platinum,12.0
CUST1434,50,Female,37761.0,47.0,North,Gold,7.0
CUST1435,35,Female,32694.0,61.0,South,Silver,16.0
CUST1436,51,Male,57449.0,18.0,North,Gold,18.0
CUST1437,21,Male,59526.0,50.0,South,Gold,9.0
CUST1438,17,Male,56002.0,57.0,South,Gold,18.0
CUST1439,34,Female,,,North,Silver,
CUST1440,38,Male,36996.0,51.0,West,Gold,9.0
CUST1441,34,Female,49554.0,40.0,East,Gold,15.0
CUST1442,14,Male,57308.0,39.0,North,Platinum,10.0
CUST1443,34,Female,61509.0,43.0,North,Silver,9.0
CUST1444,21,Female,52163.0,39.0,North,Platinum,16.0
CUST1445,41,Female,54961.0,60.0,East,Platinum,17.0
CUST1446,38,Female,51272.0,38.0,East,Platinum,13.0
CUST1447,25,Male,60284.0,36.0,South,Platinum,16.0
CUST1448,29,Female,54692.0,76.0,East,Gold,20.0
CUST1449,24,Female,50986.0,64.0,East,Platinum,19.0
CUST1450,34,Female,45974.0,22.0,North,Silver,10.0
CUST1451,44,Male,51219.0,38.0,South,Gold,15.0
CUST1452,25,Male,57268.0,53.0,West,Platinum,11.0
CUST1453,40,Male,54012.0,54.0,South,Platinum,7.0
CUST1454,29,Male,55712.0,27.0,East,Silver,18.0
CUST1455,27,Male,70140.0,67.0,East,Silver,20.0
CUST1456,33,Male,53977.0,62.0,North,Platinum,12.0
CUST1457,24,Female,40265.0,57.0,West,Platinum,16.0
CUST1458,29,Female,63254.0,70.0,West,Platinum,22.0
CUST1459,23,Female,29507.0,56.0,West,Platinum,20.0
CUST1460,54,Male,33778.0,56.0,East,Platinum,12.0
CUST1461,35,Female,55037.0,73.0,East,Silver,14.0
CUST1462,28,Female,57745.0,66.0,South,Silver,11.0
CUST1463,37,Male,31324.0,37.0,East,Gold,16.0
CUST1464,33,Female,44257.0,59.0,West,Gold,15.0
CUST1465,32,Male,,,West,Silver,
