"","Customer_ID","Age","Gender","Annual_Income","Spending_Score","Region","Loyalty_Tier","Purchase_Frequency","Income_Bracket","Spending_Category","Age_Group"
"78","CUST1078",35,"Female",52821,43,"South","Gold",20,"Medium","Low","Young Adult"
"79","CUST1080",32,"Male",50006,50,"East","Platinum",14,"Medium","Low","Young Adult"
"80","CUST1081",38,"Female",83144,36,"South","Gold",13,"High","Low","Young Adult"
"81","CUST1082",49,"Female",38201,52,"South","Platinum",13,"Medium","High","Adult"
"82","CUST1083",29,"Female",54985,66,"West","Platinum",17,"Medium","High","Young Adult"
"83","CUST1085",29,"Female",56808,52,"North","Silver",25,"Medium","High","Young Adult"
"84","CUST1086",44,"Male",36714,48,"South","Silver",19,"Medium","Low","Adult"
"85","CUST1087",38,"Male",40627,62,"East","Gold",20,"Medium","High","Young Adult"
"86","CUST1088",29,"Female",33480,39,"East","Platinum",12,"Medium","Low","Young Adult"
"87","CUST1089",40,"Male",60982,17,"South","Gold",19,"Medium","Low","Adult"
"88","CUST1090",35,"Male",65109,57,"East","Gold",18,"Medium","High","Young Adult"
"89","CUST1091",44,"Female",50350,64,"East","Platinum",12,"Medium","High","Adult"
"90","CUST1092",27,"Male",37033,56,"South","Platinum",8,"Medium","High","Young Adult"
"91","CUST1093",31,"Male",50006,50,"West","Silver",14,"Medium","Low","Young Adult"
"92","CUST1094",31,"Male",38743,32,"West","Platinum",12,"Medium","Low","Young Adult"
"93","CUST1095",20,"Female",17569,57,"West","Gold",14,"Low","High","Young Adult"
"94","CUST1096",37,"Female",56875,52,"West","Silver",18,"Medium","High","Young Adult"
"95","CUST1097",37,"Male",33428,48,"North","Gold",19,"Medium","Low","Young Adult"
"96","CUST1098",35,"Male",64829,77,"South","Platinum",23,"Medium","High","Young Adult"
"97","CUST1099",32,"Male",44282,35,"East","Silver",17,"Medium","Low","Young Adult"
"98","CUST1100",20,"Male",59055,76,"East","Platinum",7,"Medium","High","Young Adult"
"99","CUST1101",30,"Male",50006,50,"South","Silver",14,"Medium","Low","Young Adult"
"100","CUST1102",31,"Male",31867,22,"East","Silver",13,"Medium","Low","Young Adult"
"101","CUST1103",26,"Female",41510,47,"North","Silver",20,"Medium","Low","Young Adult"
"102","CUST1104",33,"Male",48864,64,"West","Platinum",18,"Medium","High","Young Adult"
"103","CUST1105",39,"Male",73063,44,"South","Silver",11,"High","Low","Young Adult"
"104","CUST1106",53,"Female",40124,27,"East","Silver",9,"Medium","Low","Adult"
"105","CUST1107",36,"Male",41082,47,"North","Platinum",11,"Medium","Low","Young Adult"
"106","CUST1108",37,"Male",57172,37,"East","Gold",8,"Medium","Low","Young Adult"
"107","CUST1109",34,"Male",41341,57,"North","Platinum",14,"Medium","High","Young Adult"
"108","CUST1110",15,"Male",52287,61,"East","Platinum",17,"Medium","High","Teen"
"109","CUST1111",34,"Female",26726,34,"West","Silver",16,"Low","Low","Young Adult"
"110","CUST1112",35,"Male",83214,39,"South","Platinum",12,"High","Low","Young Adult"
"111","CUST1113",59,"Female",29784,61,"West","Platinum",15,"Low","High","Adult"
"112","CUST1114",33,"Male",45173,37,"West","Platinum",8,"Medium","Low","Young Adult"
"113","CUST1115",38,"Male",49512,33,"East","Silver",11,"Medium","Low","Young Adult"
"114","CUST1116",34,"Female",78690,32,"West","Platinum",16,"High","Low","Young Adult"
"115","CUST1117",23,"Male",30127,55,"South","Silver",26,"Medium","High","Young Adult"
"116","CUST1118",46,"Female",79755,54,"North","Platinum",21,"High","High","Adult"
"117","CUST1119",42,"Female",61357,39,"North","Silver",8,"Medium","Low","Adult"
"118","CUST1120",42,"Female",56256,50,"East","Silver",19,"Medium","Low","Adult"
"119","CUST1121",25,"Male",35230,72,"South","Platinum",15,"Medium","High","Young Adult"
"120","CUST1122",49,"Male",58567,35,"South","Gold",16,"Medium","Low","Adult"
"121","CUST1123",20,"Male",39147,20,"North","Platinum",27,"Medium","Low","Young Adult"
"122","CUST1124",40,"Male",68999,56,"North","Gold",12,"Medium","High","Adult"
"123","CUST1125",56,"Female",35434,48,"West","Silver",17,"Medium","Low","Adult"
"124","CUST1126",25,"Male",48302,39,"East","Gold",18,"Medium","Low","Young Adult"
"125","CUST1127",29,"Male",41670,59,"North","Gold",11,"Medium","High","Young Adult"
"126","CUST1128",35,"Female",35187,62,"North","Silver",4,"Medium","High","Young Adult"
"127","CUST1129",29,"Female",61119,16,"South","Gold",8,"Medium","Low","Young Adult"
"128","CUST1130",19,"Male",58031,40,"South","Platinum",16,"Medium","Low","Teen"
"129","CUST1131",35,"Female",68135,84,"South","Gold",19,"Medium","High","Young Adult"
"130","CUST1132",24,"Female",23301,58,"North","Silver",17,"Low","High","Young Adult"
"131","CUST1133",39,"Female",65962,60,"East","Gold",17,"Medium","High","Young Adult"
"132","CUST1134",25,"Female",87581,67,"West","Silver",16,"High","High","Young Adult"
"133","CUST1135",50,"Female",43225,50,"East","Silver",10,"Medium","Low","Adult"
"134","CUST1136",27,"Male",78427,61,"North","Platinum",14,"High","High","Young Adult"
"135","CUST1137",31,"Male",46052,60,"West","Silver",18,"Medium","High","Young Adult"
"136","CUST1138",43,"Male",29413,58,"East","Gold",17,"Low","High","Adult"
"137","CUST1139",22,"Male",45415,45,"North","Platinum",23,"Medium","Low","Young Adult"
"138","CUST1140",37,"Male",65723,52,"East","Platinum",12,"Medium","High","Young Adult"
"139","CUST1141",48,"Male",37427,41,"North","Gold",12,"Medium","Low","Adult"
"140","CUST1142",18,"Male",40994,50,"South","Gold",11,"Medium","Low","Teen"
"141","CUST1143",36,"Female",58903,32,"East","Platinum",1,"Medium","Low","Young Adult"
"142","CUST1144",37,"Male",50045,38,"South","Silver",18,"Medium","Low","Young Adult"
"143","CUST1145",42,"Male",58769,45,"South","Platinum",15,"Medium","Low","Adult"
"144","CUST1146",22,"Male",53567,35,"West","Platinum",13,"Medium","Low","Young Adult"
"145","CUST1147",21,"Female",57194,42,"West","Platinum",10,"Medium","Low","Young Adult"
"146","CUST1148",40,"Male",43515,47,"East","Silver",17,"Medium","Low","Adult"
"147","CUST1149",37,"Male",53475,56,"North","Gold",15,"Medium","High","Young Adult"
"148","CUST1150",37,"Female",36089,64,"West","Gold",22,"Medium","High","Young Adult"
"149","CUST1151",38,"Male",69326,43,"West","Gold",15,"Medium","Low","Young Adult"
"150","CUST1152",28,"Male",40485,70,"South","Silver",17,"Medium","High","Young Adult"
"151","CUST1153",37,"Female",66932,64,"South","Silver",22,"Medium","High","Young Adult"
"152","CUST1154",37,"Male",46495,57,"North","Gold",13,"Medium","High","Young Adult"
"153","CUST1155",27,"Female",53029,52,"West","Gold",12,"Medium","High","Young Adult"
"154","CUST1157",39,"Male",50006,50,"North","Gold",14,"Medium","Low","Young Adult"
"155","CUST1158",23,"Male",23828,68,"West","Silver",13,"Low","High","Young Adult"
"156","CUST1159",41,"Female",34170,70,"East","Gold",13,"Medium","High","Adult"
"157","CUST1160",25,"Female",45141,50,"East","Platinum",10,"Medium","Low","Young Adult"
"158","CUST1161",42,"Female",53178,58,"North","Gold",17,"Medium","High","Adult"
"159","CUST1162",46,"Male",65155,70,"South","Silver",12,"Medium","High","Adult"
"160","CUST1163",26,"Male",43313,40,"North","Platinum",15,"Medium","Low","Young Adult"
"161","CUST1164",44,"Female",36770,45,"East","Platinum",10,"Medium","Low","Adult"
"162","CUST1165",39,"Female",28359,50,"West","Platinum",16,"Low","Low","Young Adult"
"163","CUST1166",43,"Male",57200,63,"West","Silver",25,"Medium","High","Adult"
"164","CUST1168",32,"Male",68994,46,"South","Silver",14,"Medium","Low","Young Adult"
"165","CUST1169",27,"Male",60648,27,"East","Silver",9,"Medium","Low","Young Adult"
"166","CUST1170",26,"Female",59578,53,"South","Platinum",19,"Medium","High","Young Adult"
"167","CUST1171",26,"Male",75464,36,"North","Platinum",14,"High","Low","Young Adult"
"168","CUST1172",34,"Male",54981,27,"East","Silver",16,"Medium","Low","Young Adult"
"169","CUST1173",38,"Male",59691,31,"West","Platinum",19,"Medium","Low","Young Adult"
"170","CUST1174",37,"Male",45188,54,"West","Silver",14,"Medium","High","Young Adult"
"171","CUST1175",43,"Male",29569,70,"West","Platinum",20,"Low","High","Adult"
"172","CUST1176",35,"Male",39742,50,"South","Gold",20,"Medium","Low","Young Adult"
"173","CUST1177",49,"Male",50006,50,"East","Gold",14,"Medium","Low","Adult"
"174","CUST1178",32,"Female",50911,67,"South","Gold",15,"Medium","High","Young Adult"
"175","CUST1180",41,"Female",51219,57,"East","Platinum",17,"Medium","High","Adult"
"176","CUST1181",26,"Male",67682,49,"South","Gold",17,"Medium","Low","Young Adult"
"177","CUST1182",24,"Female",43473,58,"West","Silver",7,"Medium","High","Young Adult"
"178","CUST1183",39,"Male",45324,42,"West","Silver",11,"Medium","Low","Young Adult"
"179","CUST1184",32,"Male",30064,37,"North","Gold",19,"Medium","Low","Young Adult"
"180","CUST1185",42,"Male",38865,52,"North","Platinum",16,"Medium","High","Adult"
"181","CUST1186",39,"Male",57904,74,"North","Silver",13,"Medium","High","Young Adult"
"182","CUST1187",34,"Female",50113,62,"West","Silver",23,"Medium","High","Young Adult"
"183","CUST1188",26,"Male",64144,42,"South","Silver",19,"Medium","Low","Young Adult"
"184","CUST1189",19,"Male",52718,29,"West","Platinum",20,"Medium","Low","Teen"
"185","CUST1190",30,"Female",44713,24,"West","Silver",13,"Medium","Low","Young Adult"
"186","CUST1191",43,"Female",82224,69,"West","Silver",16,"High","High","Adult"
"187","CUST1192",37,"Female",48591,35,"South","Gold",14,"Medium","Low","Young Adult"
"188","CUST1193",22,"Male",67445,45,"West","Platinum",9,"Medium","Low","Young Adult"
"189","CUST1194",36,"Female",43981,69,"North","Gold",15,"Medium","High","Young Adult"
"190","CUST1195",38,"Male",60643,25,"North","Silver",14,"Medium","Low","Young Adult"
"191","CUST1196",26,"Male",63920,72,"North","Platinum",14,"Medium","High","Young Adult"
"192","CUST1197",36,"Female",53127,46,"North","Platinum",19,"Medium","Low","Young Adult"
"193","CUST1198",35,"Female",14682,32,"West","Gold",14,"Low","Low","Young Adult"
"194","CUST1199",23,"Female",50006,50,"West","Gold",14,"Medium","Low","Young Adult"
"195","CUST1200",38,"Male",68456,39,"West","Platinum",15,"Medium","Low","Young Adult"
"196","CUST1201",40,"Male",57912,56,"North","Platinum",17,"Medium","High","Adult"
"197","CUST1202",45,"Male",56687,40,"South","Gold",16,"Medium","Low","Adult"
"198","CUST1203",45,"Male",24166,21,"East","Silver",18,"Low","Low","Adult"
"199","CUST1204",21,"Male",39193,46,"East","Platinum",8,"Medium","Low","Young Adult"
"200","CUST1205",25,"Male",56170,29,"East","Silver",15,"Medium","Low","Young Adult"
"201","CUST1206",40,"Female",56155,53,"South","Gold",14,"Medium","High","Adult"
"202","CUST1207",40,"Male",68220,32,"West","Platinum",8,"Medium","Low","Adult"
"203","CUST1208",40,"Female",47826,42,"East","Gold",7,"Medium","Low","Adult"
"204","CUST1210",40,"Female",50245,46,"West","Platinum",11,"Medium","Low","Adult"
"205","CUST1211",46,"Female",35195,53,"East","Gold",13,"Medium","High","Adult"
"206","CUST1212",44,"Female",16163,60,"West","Gold",15,"Low","High","Adult"
"207","CUST1213",41,"Male",56465,32,"East","Silver",17,"Medium","Low","Adult"
"208","CUST1214",31,"Male",52609,49,"West","Gold",8,"Medium","Low","Young Adult"
"209","CUST1216",27,"Male",25712,53,"South","Silver",10,"Low","High","Young Adult"
"210","CUST1217",32,"Female",59446,45,"East","Gold",14,"Medium","Low","Young Adult"
"211","CUST1218",30,"Female",46011,35,"West","Silver",15,"Medium","Low","Young Adult"
"212","CUST1219",35,"Female",58353,54,"North","Silver",19,"Medium","High","Young Adult"
"213","CUST1220",58,"Male",77960,67,"West","Gold",10,"High","High","Adult"
"214","CUST1222",41,"Male",39505,35,"East","Silver",7,"Medium","Low","Adult"
"215","CUST1223",18,"Male",46859,52,"East","Silver",15,"Medium","High","Teen"
"216","CUST1224",30,"Female",71822,29,"East","Gold",17,"High","Low","Young Adult"
"217","CUST1225",45,"Female",25453,40,"East","Gold",18,"Low","Low","Adult"
"218","CUST1226",35,"Male",79037,68,"North","Silver",23,"High","High","Young Adult"
"219","CUST1227",24,"Male",52037,50,"West","Gold",26,"Medium","Low","Young Adult"
"220","CUST1229",41,"Female",47029,23,"East","Silver",8,"Medium","Low","Adult"
"221","CUST1230",27,"Female",43456,52,"West","Platinum",34,"Medium","High","Young Adult"
"222","CUST1231",37,"Female",65721,62,"North","Gold",20,"Medium","High","Young Adult"
"223","CUST1232",35,"Male",33972,25,"East","Platinum",20,"Medium","Low","Young Adult"
"224","CUST1233",28,"Female",50006,50,"South","Gold",14,"Medium","Low","Young Adult"
"225","CUST1234",56,"Female",44237,69,"North","Gold",14,"Medium","High","Adult"
"226","CUST1235",41,"Female",38567,78,"East","Silver",10,"Medium","High","Adult"
"227","CUST1237",36,"Male",56285,57,"North","Silver",12,"Medium","High","Young Adult"
"228","CUST1238",28,"Male",59198,18,"East","Platinum",18,"Medium","Low","Young Adult"
"229","CUST1239",43,"Male",50006,50,"West","Gold",14,"Medium","Low","Adult"
"230","CUST1240",27,"Male",28679,41,"West","Gold",19,"Low","Low","Young Adult"
"231","CUST1241",33,"Male",76284,35,"East","Silver",16,"High","Low","Young Adult"
"232","CUST1242",40,"Male",12365,46,"North","Platinum",21,"Low","Low","Adult"
"233","CUST1243",43,"Female",38468,72,"East","Platinum",25,"Medium","High","Adult"
"234","CUST1244",22,"Female",43114,83,"East","Gold",16,"Medium","High","Young Adult"
"235","CUST1245",31,"Female",58725,51,"East","Silver",21,"Medium","High","Young Adult"
"236","CUST1246",30,"Female",53280,64,"East","Gold",21,"Medium","High","Young Adult"
"237","CUST1247",28,"Male",47497,50,"East","Gold",14,"Medium","Low","Young Adult"
"238","CUST1248",52,"Female",49820,34,"West","Silver",16,"Medium","Low","Adult"
"239","CUST1249",39,"Male",35329,72,"East","Platinum",16,"Medium","High","Young Adult"
"240","CUST1250",22,"Female",27541,40,"North","Platinum",12,"Low","Low","Young Adult"
"241","CUST1251",44,"Female",60897,73,"South","Gold",12,"Medium","High","Adult"
"242","CUST1252",56,"Female",60405,69,"East","Platinum",21,"Medium","High","Adult"
"243","CUST1253",45,"Male",73767,59,"North","Silver",11,"High","High","Adult"
"244","CUST1254",19,"Female",50006,50,"South","Platinum",14,"Medium","Low","Teen"
"245","CUST1255",30,"Male",60392,83,"North","Platinum",13,"Medium","High","Young Adult"
"246","CUST1256",47,"Male",45744,47,"West","Gold",17,"Medium","Low","Adult"
"247","CUST1257",27,"Female",67857,37,"West","Platinum",26,"Medium","Low","Young Adult"
"248","CUST1258",39,"Male",65329,22,"South","Silver",14,"Medium","Low","Young Adult"
"249","CUST1259",42,"Male",53168,83,"South","Gold",7,"Medium","High","Adult"
"250","CUST1260",25,"Female",44907,43,"South","Silver",15,"Medium","Low","Young Adult"
"251","CUST1261",34,"Female",64413,67,"West","Platinum",10,"Medium","High","Young Adult"
"252","CUST1263",24,"Female",50006,50,"North","Gold",14,"Medium","Low","Young Adult"
"253","CUST1264",32,"Female",30083,39,"West","Silver",15,"Medium","Low","Young Adult"
"254","CUST1265",22,"Female",45672,32,"South","Platinum",9,"Medium","Low","Young Adult"
"255","CUST1266",51,"Male",72731,46,"East","Platinum",13,"High","Low","Adult"
"256","CUST1267",20,"Female",67197,42,"East","Gold",10,"Medium","Low","Young Adult"
"257","CUST1268",30,"Female",33315,58,"South","Platinum",21,"Medium","High","Young Adult"
"258","CUST1269",36,"Male",32483,49,"West","Platinum",11,"Medium","Low","Young Adult"
"259","CUST1270",49,"Female",69120,59,"South","Platinum",17,"Medium","High","Adult"
"260","CUST1271",20,"Male",32965,45,"West","Silver",15,"Medium","Low","Young Adult"
"261","CUST1272",46,"Female",57639,40,"East","Silver",15,"Medium","Low","Adult"
"262","CUST1273",35,"Female",40758,41,"North","Silver",16,"Medium","Low","Young Adult"
"263","CUST1274",25,"Male",74255,80,"West","Platinum",18,"High","High","Young Adult"
"264","CUST1275",39,"Female",38443,53,"North","Gold",21,"Medium","High","Young Adult"
"265","CUST1276",36,"Male",67150,20,"East","Gold",19,"Medium","Low","Young Adult"
"266","CUST1277",28,"Female",52772,42,"North","Gold",22,"Medium","Low","Young Adult"
"267","CUST1278",35,"Female",53782,51,"North","Silver",9,"Medium","High","Young Adult"
"268","CUST1279",31,"Male",20445,77,"South","Silver",8,"Low","High","Young Adult"
"269","CUST1280",36,"Female",16956,65,"North","Silver",23,"Low","High","Young Adult"
"270","CUST1281",41,"Female",46691,36,"East","Silver",17,"Medium","Low","Adult"
"271","CUST1282",50,"Male",53703,86,"West","Platinum",9,"Medium","High","Adult"
"272","CUST1283",22,"Female",33122,49,"North","Gold",13,"Medium","Low","Young Adult"
"273","CUST1284",56,"Male",33669,68,"West","Gold",17,"Medium","High","Adult"
"274","CUST1285",15,"Female",58422,32,"South","Silver",14,"Medium","Low","Teen"
"275","CUST1286",33,"Male",58442,14,"East","Gold",18,"Medium","Low","Young Adult"
"276","CUST1287",40,"Female",47933,28,"East","Gold",9,"Medium","Low","Adult"
"277","CUST1289",28,"Male",32386,81,"East","Silver",15,"Medium","High","Young Adult"
"278","CUST1290",32,"Female",44660,53,"South","Silver",11,"Medium","High","Young Adult"
"279","CUST1291",30,"Female",74718,36,"West","Silver",13,"High","Low","Young Adult"
"280","CUST1292",29,"Male",51024,56,"East","Platinum",12,"Medium","High","Young Adult"
"281","CUST1293",43,"Female",51894,52,"South","Gold",9,"Medium","High","Adult"
"282","CUST1294",38,"Male",84589,59,"South","Platinum",11,"High","High","Young Adult"
"283","CUST1295",28,"Female",29009,68,"North","Gold",15,"Low","High","Young Adult"
"284","CUST1296",43,"Female",50006,50,"East","Platinum",14,"Medium","Low","Adult"
"285","CUST1297",38,"Male",74959,36,"West","Silver",11,"High","Low","Young Adult"
"286","CUST1298",43,"Male",45127,62,"North","Platinum",6,"Medium","High","Adult"
"287","CUST1299",41,"Female",62894,62,"West","Silver",22,"Medium","High","Adult"
"288","CUST1300",26,"Female",35269,51,"North","Silver",19,"Medium","High","Young Adult"
"289","CUST1301",29,"Female",39699,82,"South","Platinum",21,"Medium","High","Young Adult"
"290","CUST1302",42,"Female",55774,43,"North","Gold",16,"Medium","Low","Adult"
"291","CUST1303",41,"Female",61978,36,"North","Platinum",16,"Medium","Low","Adult"
"292","CUST1304",34,"Male",66814,56,"North","Silver",13,"Medium","High","Young Adult"
"293","CUST1305",36,"Female",73544,39,"East","Silver",21,"High","Low","Young Adult"
"294","CUST1306",47,"Female",48988,57,"North","Gold",15,"Medium","High","Adult"
"295","CUST1307",29,"Male",67904,37,"South","Gold",5,"Medium","Low","Young Adult"
"296","CUST1308",40,"Male",50006,50,"West","Gold",14,"Medium","Low","Adult"
"297","CUST1309",32,"Male",63531,78,"East","Silver",16,"Medium","High","Young Adult"
"298","CUST1310",32,"Female",53112,43,"South","Platinum",10,"Medium","Low","Young Adult"
"299","CUST1311",45,"Male",56685,38,"East","Gold",15,"Medium","Low","Adult"
"300","CUST1312",43,"Male",56352,67,"West","Silver",18,"Medium","High","Adult"
"301","CUST1313",43,"Male",25929,34,"West","Platinum",10,"Low","Low","Adult"
"302","CUST1314",48,"Male",33138,39,"West","Gold",13,"Medium","Low","Adult"
"303","CUST1315",35,"Female",51538,58,"East","Platinum",13,"Medium","High","Young Adult"
"304","CUST1316",41,"Female",24690,64,"East","Platinum",10,"Low","High","Adult"
"305","CUST1317",31,"Female",62468,68,"West","Silver",7,"Medium","High","Young Adult"
"306","CUST1318",38,"Male",63073,38,"West","Silver",9,"Medium","Low","Young Adult"
"307","CUST1320",35,"Male",33182,43,"West","Platinum",14,"Medium","Low","Young Adult"
"308","CUST1321",40,"Male",70702,40,"North","Gold",14,"High","Low","Adult"
"309","CUST1322",26,"Male",80558,68,"East","Gold",12,"High","High","Young Adult"
"310","CUST1324",24,"Female",50006,50,"East","Silver",14,"Medium","Low","Young Adult"
"311","CUST1325",22,"Female",50006,50,"West","Gold",14,"Medium","Low","Young Adult"
"312","CUST1326",46,"Male",57955,33,"North","Gold",27,"Medium","Low","Adult"
"313","CUST1327",42,"Female",48206,64,"West","Silver",19,"Medium","High","Adult"
"314","CUST1328",41,"Male",49481,58,"East","Gold",4,"Medium","High","Adult"
"315","CUST1329",41,"Male",63585,20,"South","Gold",21,"Medium","Low","Adult"
"316","CUST1330",34,"Female",85184,54,"East","Gold",11,"High","High","Young Adult"
"317","CUST1331",26,"Male",28998,38,"South","Platinum",10,"Low","Low","Young Adult"
"318","CUST1332",35,"Female",48442,66,"North","Platinum",13,"Medium","High","Young Adult"
"319","CUST1333",28,"Male",32293,28,"West","Silver",20,"Medium","Low","Young Adult"
"320","CUST1334",44,"Male",73880,44,"West","Silver",17,"High","Low","Adult"
"321","CUST1335",33,"Female",41183,55,"North","Platinum",15,"Medium","High","Young Adult"
"322","CUST1336",26,"Male",28351,50,"East","Silver",10,"Low","Low","Young Adult"
